accession,species,description,source_type,plasmid_name,replicon_types,mge_elements,country,percent_identity,query_coverage,alignment_length,mismatches,gaps,evalue,bit_score,hit_length,subject_start,subject_end,geographic_origin,host_organism,collection_date,isolation_source_detail
CP087653,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain DD01653 plasmid pDD01653-2, complete sequence",Plasmid,pDD01653-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,112393,65472,56140,China,Homo sapiens,2017-12-01,Not specified
MH917122,Klebsiella pneumoniae,"Klebsiella pneumoniae strain Kp715 plasmid pSZF_KPC, complete sequence",Plasmid,pSZF_KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,106201,21124,11792,China,Homo sapiens,2015,sputum
CP129839,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2020N17-131 plasmid p2020N17-131-96k, complete sequence",Plasmid,p2020N17-131-96k,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,96125,28392,19060,Taiwan,Homo sapiens,2020,Not specified
CP090204,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JNKPN26 plasmid pJNKPN26_KPC, complete sequence",Plasmid,pJNKPN26_KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,126203,110352,119684,China,Homo sapiens,2019-02-28,sputum
MT810376,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 37 plasmid pZZDX37-KPC, complete sequence",Plasmid,pZZDX37-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,91216,18952,28284,China,Not specified,Not specified,Zhengzhou
CP167654,Klebsiella pneumoniae,"Klebsiella pneumoniae strain GDFK0158 plasmid unnamed3, complete sequence",Plasmid,unnamed3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,69455,26114,16782,China,Homo sapiens,2017,Not specified
CP101543,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain KP21 plasmid p21_1, complete sequence",Plasmid,p21_1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,129998,104323,113655,China,Homo sapiens,2013-04,urine
CP182844,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KC231 plasmid pKC231-2, complete sequence",Plasmid,pKC231-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,135793,13789,23121,China,Homo sapiens,2024-06-04,Urethral secretions
CP099415,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 33367 plasmid p33367_KPC2, complete sequence",Plasmid,p33367_KPC2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,150096,90928,81596,China,Not specified,2015-09,blood
CP033956,Klebsiella pneumoniae,"Klebsiella pneumoniae strain SCNJ37 plasmid pKPC-2_SCNJ37, complete sequence",Plasmid,pKPC-2_SCNJ37,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133772,55955,46623,China,Homo sapiens,2018,stool
MT810358,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2014010701-5001 plasmid p15001-KPC, complete sequence",Plasmid,p15001-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,129274,49265,58597,China,Not specified,Not specified,Beijing
CP138521,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP3813 plasmid pKPC3813, complete sequence",Plasmid,pKPC3813,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,125150,19316,9984,China,Not specified,2020-09-26,urine
CP076673,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY393 plasmid pZY1393-2, complete sequence",Plasmid,pZY1393-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,134874,35907,45239,China,Homo sapiens,2020-12,flushing fluid
CP107299,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CRKP_44 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,215446,49794,40462,China,Homo sapiens,2018-12-04,sputum
CP096244,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain DD01665 plasmid pKPC-DD01665, complete sequence",Plasmid,pKPC-DD01665,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,94000,18984,28316,China,Homo sapiens,2017,Not specified
MZ546615,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JNKPN26 plasmid pJNKPN26_KPC, complete sequence",Plasmid,pJNKPN26_KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,126203,68532,59200,China,Not specified,Not specified,sputum
CP127956,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2018C06-153 plasmid p2018C06-153-2, complete sequence",Plasmid,p2018C06-153-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,87906,66684,76016,Taiwan,Homo sapiens,2018,respiratory
MW465706,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 6106 plasmid pKP6106_KPC, complete sequence",Plasmid,pKP6106_KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,98788,11104,20436,China,Homo sapiens,06-Jul-2017,Not specified
MN615880,Serratia marcescens,"Serratia marcescens strain S1 plasmid pS1-KPC2, complete sequence",Plasmid,pS1-KPC2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,105220,21810,12478,China,Not specified,Not specified,Qingdao
CP066256,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CRKP78R plasmid p3, complete sequence",Plasmid,p3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,149407,91737,82405,China,Homo sapiens,23-May-2018,urine sample
CP139402,Klebsiella aerogenes,"Klebsiella aerogenes strain C222139 plasmid pC222139-KPC_104k, complete sequence",Plasmid,pC222139-KPC_104k,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,104961,18803,28135,China,Homo sapiens,2021-07-21,sputum
CP146353,Klebsiella pneumoniae,"Klebsiella pneumoniae strain YDDB plasmid pYDDB_res, complete sequence",Plasmid,pYDDB_res,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,134960,44680,35348,China,Homo sapiens,2023-04,blood
CP157324,Klebsiella pneumoniae,"Klebsiella pneumoniae strain HvKP51-KPC-TC plasmid pKPC, complete sequence",Plasmid,pKPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,94064,32585,41917,China,Homo sapiens,2019,sputum
CP138677,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP01 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,132750,55903,46571,China,Homo sapiens,2019-02,sputum
MH909332,Klebsiella pneumoniae,"Klebsiella pneumoniae strain A1731 plasmid pA1731-KPC, complete sequence",Plasmid,pA1731-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,72458,52960,43628,China,Not specified,2013,Beijing
CP169921,Klebsiella pneumoniae,"Klebsiella pneumoniae strain K64102 plasmid pK64102-KPC, complete sequence",Plasmid,pK64102-KPC,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,131089,55955,46623,China,Homo sapiens,2023,BALF
CP180400,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KPN845 plasmid p2-KPN845, complete sequence",Plasmid,p2-KPN845,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,149190,67373,76705,China,Homo sapiens,2024-02-22,Ascitic fluid
CP128004,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2018S09-085 plasmid p2018S09-085-1, complete sequence",Plasmid,p2018S09-085-1,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,91070,21613,12281,Taiwan,Homo sapiens,2018,wound
CP167605,Klebsiella pneumoniae,"Klebsiella pneumoniae strain GDFK0019 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,204765,22968,13636,China,Homo sapiens,2017,Not specified
CP003224,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae HS11286 plasmid pKPHS2, complete sequence",Plasmid,pKPHS2,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,111195,17961,27293,Not specified,Not specified,Not specified,Not specified
CP180339,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KPN728 plasmid p2-KPN728, complete sequence",Plasmid,p2-KPN728,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,127849,56936,66268,China,Homo sapiens,2024-02-14,Drainage fluid
CP092696,Klebsiella pneumoniae,Klebsiella pneumoniae strain S-P-N-042.01 chromosome,Chromosome,,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,5688292,5479051,5488383,Sudan,Homo sapiens,2021-07-29,Not specified
CP183205,Klebsiella pneumoniae,"Klebsiella pneumoniae strain Kp2325 plasmid unnamed3, complete sequence",Plasmid,unnamed3,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,100883,43428,34096,China,Homo sapiens,2018,Not specified
CP110181,Klebsiella pneumoniae,"Klebsiella pneumoniae strain XYJ-CZA-R plasmid pXYJ-CZA-R-4, complete sequence",Plasmid,pXYJ-CZA-R-4,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,71813,15702,6370,China,Homo sapiens,2021-11-08,sputum
CP180661,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JHKP172 plasmid pJHKP172-105k, complete sequence",Plasmid,pJHKP172-105k,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,105088,18936,28268,China,Homo sapiens,2023-10-26,sputum
CP127968,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2016S06-131 plasmid p2016S06-131-1, complete sequence",Plasmid,p2016S06-131-1,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,63902,19691,29023,Taiwan,Homo sapiens,2016,bile
OM928502,Klebsiella pneumoniae,"Klebsiella pneumoniae strain HS2519 plasmid pZHKPC1, complete sequence",Plasmid,pZHKPC1,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,105885,15938,6606,China,Homo sapiens,Not specified,Cerebrospinal fluid
CP139397,Klebsiella aerogenes,"Klebsiella aerogenes strain C212158 plasmid pC212158_1_110k, complete sequence",Plasmid,pC212158_1_110k,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,110952,18779,28111,China,Homo sapiens,2021-08-06,urine
MT810363,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 170202604-1 plasmid p26041-KPC, complete sequence",Plasmid,p26041-KPC,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,100883,43428,34096,China,Not specified,Not specified,Zhengzhou
CP116905,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP2722 plasmid pKP2722-2, complete sequence",Plasmid,pKP2722-2,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,134875,21970,31302,China,Homo sapiens,2022,sputum
CP166073,Klebsiella pneumoniae,"Klebsiella pneumoniae strain SIDKP002 plasmid pKPHS2, complete sequence",Plasmid,pKPHS2,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,111192,17958,27290,Indonesia,Not specified,2024-07-11,lab stock
CP133387,Klebsiella pneumoniae,Klebsiella pneumoniae strain KLB_MDR_391377 plasmid p377C6,Plasmid,p377C6,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,107938,15344,24676,India,Homo sapiens,2023-02-24,urine
CP141070,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KPN7 plasmid p5, complete sequence",Plasmid,p5,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,120635,69469,78801,China,Not specified,2023-09,Not specified
CP088271,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CRKP-27 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,76708,49650,58982,China,Homo sapiens,2020-10-05,Not specified
CP120848,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KPHRJ plasmid pKPHRJ, complete sequence",Plasmid,pKPHRJ,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,133718,100459,109791,China,Homo sapiens,2022-11-01,Not specified
CP162093,Klebsiella pneumoniae,"Klebsiella pneumoniae strain NC34 plasmid pNC34-2, complete sequence",Plasmid,pNC34-2,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,105601,105522,96190,China,Homo sapiens,2022-05-04,Not specified
CP162090,Klebsiella pneumoniae,"Klebsiella pneumoniae strain NC3 plasmid pNC3-3, complete sequence",Plasmid,pNC3-3,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,105601,67507,58175,China,Homo sapiens,2022-03-03,Not specified
CP092693,Klebsiella pneumoniae,Klebsiella pneumoniae strain S-P-N-044.01 chromosome,Chromosome,,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,5581521,17961,27293,Sudan,Homo sapiens,2021-08-03,Not specified
CP180656,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JHKP136 plasmid pJHKP136-106k, complete sequence",Plasmid,pJHKP136-106k,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,106308,18936,28268,China,Homo sapiens,2023-10-14,bile
CP180651,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JHKP133 plasmid pJHKP133-106k, complete sequence",Plasmid,pJHKP133-106k,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,106308,18936,28268,China,Homo sapiens,2023-10-08,sputum
MT550691,Klebsiella pneumoniae,"Klebsiella pneumoniae strain h2 plasmid pKPC-h2, complete sequence",Plasmid,pKPC-h2,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,77551,66442,75774,China,Homo sapiens,Not specified,Sputum
CP146887,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP1TCM chromosome, complete genome",Chromosome/Genome,,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,5409067,342028,351360,China,Not specified,2023-10-01,clinical
CP168288,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KPN1009 plasmid pK1009_2, complete sequence",Plasmid,pK1009_2,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,128689,50872,41540,China,Homo sapiens,2023-09-01,Not specified
CP159183,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZZX-CZA-R plasmid pZZX-CZA-R-2, complete sequence",Plasmid,pZZX-CZA-R-2,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,135051,76984,67652,China,Homo sapiens,2022-05-05,sputum
PX405700,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ICU-3 plasmid pICU-3, complete sequence",Plasmid,pICU-3,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,141784,35123,25791,China,Not specified,Jul-2020,Not specified
CP107017,Klebsiella pneumoniae,"Klebsiella pneumoniae strain K30821 plasmid pKPC-K30821, complete sequence",Plasmid,pKPC-K30821,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,96126,38671,29339,China,Homo sapiens,2020-07-03,bronchoalveolar lavage fluid
PP212884,Klebsiella pneumoniae,"Klebsiella pneumoniae strain FD11 plasmid pB, complete sequence",Plasmid,pB,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,96121,55546,46214,China,Not specified,Not specified,sputum
CP169930,Klebsiella pneumoniae,"Klebsiella pneumoniae strain K67034 plasmid pK67034-KPC, complete sequence",Plasmid,pK67034-KPC,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,134477,55955,46623,China,Homo sapiens,2024,BALF
CP180671,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JHKP159 plasmid pJHKP159-105k, complete sequence",Plasmid,pJHKP159-105k,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,105056,18904,28236,China,Homo sapiens,2023-12-01,sputum
CP071162,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 130120 plasmid pKPC84_130120, complete sequence",Plasmid,pKPC84_130120,Not specified,Not specified,Not specified,99.99,92.51,9333,1,0,0.0,17230.4,134873,55955,46623,China,Homo sapiens,2019-11,Not specified
CP130662,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain SM117 chromosome, complete genome",Chromosome/Genome,,Not specified,Not specified,Not specified,99.99,92.51,9333,1,1,0.0,17228.5,5612620,5571297,5580628,China,Homo sapiens,2023-01-19,sputum
CP130180,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2014C06-026 plasmid p2014C06-026-113k, complete sequence",Plasmid,p2014C06-026-113k,Not specified,Not specified,Not specified,99.99,92.51,9333,1,1,0.0,17228.5,113108,13835,4504,Taiwan,Homo sapiens,2014,Not specified
CP092840,Klebsiella pneumoniae,Klebsiella pneumoniae strain S-P-N-054.01 chromosome,Chromosome,,Not specified,Not specified,Not specified,99.98,92.51,9333,2,0,0.0,17226.7,5770326,22771,32103,Sudan,Homo sapiens,2021-06-12,Not specified
OM928503,Klebsiella pneumoniae,"Klebsiella pneumoniae strain HS2536 plasmid pZHKPC2, complete sequence",Plasmid,pZHKPC2,Not specified,Not specified,Not specified,99.98,92.51,9333,2,0,0.0,17224.8,109901,41900,51232,China,Homo sapiens,Not specified,sputum
MN823986,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 201332306 plasmid p332306-KPC, complete sequence",Plasmid,p332306-KPC,Not specified,Not specified,Not specified,99.98,92.51,9333,2,0,0.0,17224.8,108082,63694,54362,China,Not specified,Not specified,Anhui
CP090345,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KPK3 plasmid pKPK3-2, complete sequence",Plasmid,pKPK3-2,Not specified,Not specified,Not specified,99.98,92.51,9333,2,0,0.0,17224.8,132507,55139,64471,China,Homo sapiens,2020-12-04,clinical isolate
CP143301,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CARKW-3 plasmid pCARKWB, complete sequence",Plasmid,pCARKWB,Not specified,Not specified,Not specified,99.98,92.51,9333,2,0,0.0,17224.8,124624,32512,41844,China,Homo sapiens,2023,Not specified
CP183780,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 57128 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,99.98,92.51,9333,2,0,0.0,17224.8,133120,55955,46623,China,Homo sapiens,2023-03-13,sputum
CP050279,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 10553 plasmid unnamed4, complete sequence",Plasmid,unnamed4,Not specified,Not specified,Not specified,99.98,92.51,9333,2,2,0.0,17223.0,96437,65007,74337,China,Homo sapiens,2017-12-26,blood
CP066892,Klebsiella pneumoniae,"Klebsiella pneumoniae strain XHKP53 plasmid pXHKP53-1, complete sequence",Plasmid,pXHKP53-1,Not specified,Not specified,Not specified,99.98,92.51,9333,2,2,0.0,17223.0,147717,23676,33006,China,Homo sapiens,10-Jul-2012,urine
CP066153,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP697 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,99.97,92.51,9336,3,3,0.0,17221.1,133625,55809,46474,China,Homo sapiens,23-Jun-2020,sputum
CP092808,Klebsiella pneumoniae,Klebsiella pneumoniae strain S-P-C-028.01 chromosome,Chromosome,,Not specified,Not specified,Not specified,99.97,92.51,9333,3,1,0.0,17217.4,5738885,18109,27440,Sudan,Homo sapiens,2021-09-14,Not specified
MT810373,Klebsiella pneumoniae,"Klebsiella pneumoniae strain A1732 plasmid pA1732-KPC, complete sequence",Plasmid,pA1732-KPC,Not specified,Not specified,Not specified,99.97,92.51,9333,3,2,0.0,17217.4,65897,22195,12865,China,Not specified,Not specified,Beijing
CP146851,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP2CSL plasmid pKP2CSL-KPC, complete sequence",Plasmid,pKP2CSL-KPC,Not specified,Not specified,Not specified,99.97,92.51,9333,3,3,0.0,17215.6,138872,14511,23840,China,Not specified,2023-10-01,clinical
CP100088,Klebsiella pneumoniae,"Klebsiella pneumoniae strain HSKP8 plasmid pHSKP8-1, complete sequence",Plasmid,pHSKP8-1,Not specified,Not specified,Not specified,99.97,92.51,9333,3,3,0.0,17215.6,94350,61,9390,China,Homo sapiens,2018,sputum
CP092811,Klebsiella pneumoniae,Klebsiella pneumoniae strain S-P-C-032.01 chromosome,Chromosome,,Not specified,Not specified,Not specified,99.95,92.51,9333,5,1,0.0,17211.9,5703728,18016,27347,Sudan,Homo sapiens,2021-09-11,Not specified
CP092527,Klebsiella pneumoniae,Klebsiella pneumoniae strain 28spn chromosome,Chromosome,,Not specified,Not specified,Not specified,99.95,92.51,9336,5,3,0.0,17210.0,5694380,17977,27312,Sudan,Homo sapiens,2021-03-31,Not specified
CP159187,Klebsiella pneumoniae,"Klebsiella pneumoniae strain WHY-CZA-R plasmid pWHY-CZA-R-2, complete sequence",Plasmid,pWHY-CZA-R-2,Not specified,Not specified,Not specified,99.96,92.51,9333,4,3,0.0,17210.0,103163,18944,28273,China,Homo sapiens,2022-04-25,urine
CP050276,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 10553 plasmid unnamed1, complete sequence",Plasmid,unnamed1,Not specified,Not specified,Not specified,99.96,92.51,9333,4,4,0.0,17210.0,404774,381577,390905,China,Homo sapiens,2017-12-26,blood
CP050282,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 9949 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,99.96,92.51,9333,4,4,0.0,17210.0,185429,67708,58380,China,Homo sapiens,2017-12-07,blood
KP125892,Escherichia coli,"Escherichia coli strain HS10842 plasmid pHS10842, complete sequence",Plasmid,pHS10842,Not specified,Not specified,Not specified,99.94,92.51,9337,6,4,0.0,17206.4,13915,11932,2596,China,Homo sapiens,08-May-2010,sputum
KF724507,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain HS082416 plasmid pHS082416, partial sequence",Plasmid,pHS082416,Not specified,Not specified,Not specified,99.94,92.51,9337,6,4,0.0,17206.4,12915,11463,2127,China,Homo sapiens,24-Oct-2008,urine
KP125890,Cloning vector,"Cloning vector pJTOOL-Tn1721A, complete sequence",Chromosome,,Not specified,Not specified,Not specified,99.94,92.51,9337,6,4,0.0,17206.4,16277,13045,3709,Not specified,Not specified,Not specified,Not specified
KF826293,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain HS092753 plasmid pHS092753, partial sequence",Plasmid,pHS092753,Not specified,Not specified,Not specified,99.94,92.51,9337,6,4,0.0,17206.4,12966,11514,2178,China,Not specified,22-Oct-2010,sputum
KP125891,Cloning vector,"Cloning vector pJTOOL-Tn1721B, complete sequence",Chromosome,,Not specified,Not specified,Not specified,99.94,92.51,9337,6,4,0.0,17206.4,15797,11663,2327,Not specified,Not specified,Not specified,Not specified
CP092810,Klebsiella pneumoniae,Klebsiella pneumoniae strain S-P-C-027.01 chromosome,Chromosome,,Not specified,Not specified,Not specified,99.92,92.51,9333,7,1,0.0,17199.0,5757041,18087,27418,Sudan,Homo sapiens,2021-09-15,Not specified
CP050288,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 9630 plasmid unnamed3, complete sequence",Plasmid,unnamed3,Not specified,Not specified,Not specified,99.94,92.51,9333,6,6,0.0,17197.1,93415,68148,58822,China,Homo sapiens,2017-11-27,blood
CP130692,Klebsiella pneumoniae,"Klebsiella pneumoniae strain SP1030 plasmid pSP1030-KPC-tetA, complete sequence",Plasmid,pSP1030-KPC-tetA,Not specified,Not specified,Not specified,99.94,92.51,9333,6,6,0.0,17197.1,101768,100598,91272,China,Homo sapiens,2023,sputum
CP130686,Klebsiella pneumoniae,"Klebsiella pneumoniae strain F1025 plasmid pF1025-KPC-tetA, complete sequence",Plasmid,pF1025-KPC-tetA,Not specified,Not specified,Not specified,99.94,92.51,9333,6,6,0.0,17197.1,101767,64,9390,China,Homo sapiens,2023,feces
CP055296,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP55 plasmid pKP55_2, complete sequence",Plasmid,pKP55_2,Not specified,Not specified,Not specified,99.94,92.51,9333,6,6,0.0,17197.1,133766,55949,46623,China,Homo sapiens,Apr-2020,sputum
ON784343,Serratia marcescens,"Serratia marcescens strain K17 plasmid pK17-KPC, complete sequence",Plasmid,pK17-KPC,Not specified,Not specified,Not specified,99.86,92.51,9337,13,13,0.0,17158.3,87232,15461,6134,China,Not specified,2016,Not specified
CP107245,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain HSH-5432 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,99.87,92.51,9333,12,12,0.0,17158.3,94826,31627,22307,China,Homo sapiens,2021-09-10,urinary tract
LT968763,Klebsiella pneumoniae,"Klebsiella pneumoniae genome assembly, plasmid: 77",Plasmid,,Not specified,Not specified,Not specified,99.84,92.51,9342,15,15,0.0,17154.6,70242,70223,60888,Not specified,Not specified,Not specified,"specimen from clinical wards in a tertiary referral, 3000-bed teaching hospital in Hangzhou, Zhejiang province, China"
CP092697,Klebsiella pneumoniae,Klebsiella pneumoniae strain S-P-N-043.01 chromosome,Chromosome,,Not specified,Not specified,Not specified,99.72,92.51,9340,26,8,0.0,17125.1,5674093,5463126,5472464,Sudan,Homo sapiens,2021-07-31,Not specified
CP092812,Klebsiella pneumoniae,Klebsiella pneumoniae strain S-P-C-037.01 chromosome,Chromosome,,Not specified,Not specified,Not specified,99.78,92.51,9340,21,9,0.0,17123.3,5672868,17959,27296,Sudan,Homo sapiens,2021-09-12,Not specified
CP133012,Klebsiella pneumoniae,Klebsiella pneumoniae strain KLB_MDR_390314 plasmid p314C6,Plasmid,p314C6,Not specified,Not specified,Not specified,99.7,92.51,9341,28,12,0.0,17084.5,105934,15603,24939,India,Homo sapiens,2023-03-17,urine
CP107464,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CRKP_12 plasmid unnamed1, complete sequence",Plasmid,unnamed1,Not specified,Not specified,Not specified,99.99,91.46,9227,1,0,0.0,17034.6,128751,12595,3369,China,Homo sapiens,2018-12-04,sputum
CP095423,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM057 plasmid pIM057_KPC, complete sequence",Plasmid,pIM057_KPC,Not specified,Not specified,Not specified,100.0,91.22,9203,0,0,0.0,16995.8,129505,15432,6230,China,patient,2020-03-02,sputum
CP119018,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CR-hvKP006 plasmid pCR-hvKP006-KPC-P1, complete sequence",Plasmid,pCR-hvKP006-KPC-P1,Not specified,Not specified,Not specified,100.0,91.22,9203,0,0,0.0,16995.8,111731,89313,98515,China,Homo sapiens,2020-10-12,Not specified
CP023725,Klebsiella pneumoniae,"Klebsiella pneumoniae strain TVGHCRE225 plasmid unnamed3, complete sequence",Plasmid,unnamed3,Not specified,Not specified,Not specified,100.0,91.2,9201,0,0,0.0,16992.1,103454,73630,82830,Taiwan,Homo sapiens,13-Aug-2014,intraabdominal abscess
